path,dataset_name
coco/0_real/000000528136.jpg,Universal_Fake_Detect
coco/0_real/000000004338.jpg,Universal_Fake_Detect
progan/bird/0_real/12364.png,CNNSpot_test
progan/bird/0_real/00692.png,CNNSpot
coco/0_real/000000419369.jpg,Universal_Fake_Detect
progan/person/0_real/14048.png,CNNSpot
coco/0_real/000000320600.jpg,Universal_Fake_Detect
gaugan/0_real/000000007278.png,CNNSpot_test
coco/0_real/000000226936.jpg,Universal_Fake_Detect
coco/0_real/000000337007.jpg,Universal_Fake_Detect
coco/0_real/000000331797.jpg,Universal_Fake_Detect
biggan/0_real/178--n02092339_4038.png,CNNSpot_test
coco/0_real/000000071360.jpg,Universal_Fake_Detect
stylegan/cat/0_real/12716.png,CNNSpot_test
coco/0_real/000000543881.jpg,Universal_Fake_Detect
progan/cat/0_real/00765.png,CNNSpot
progan/bicycle/0_real/00638.png,CNNSpot
progan/cat/0_real/00120.png,CNNSpot
progan/diningtable/0_real/00044.png,CNNSpot
progan/bus/0_real/02356.png,CNNSpot_test
progan/train/0_real/01021.png,CNNSpot
progan/diningtable/0_real/00761.png,CNNSpot
deepfake/0_real/319_0675.png,CNNSpot_test
stylegan2/horse/0_real/03087.png,CNNSpot_test
laion/0_real/etiolecymt.jpg,Universal_Fake_Detect
coco/0_real/000000153733.jpg,Universal_Fake_Detect
coco/0_real/000000126524.jpg,Universal_Fake_Detect
crn/0_real/00100156.png,CNNSpot_test
coco/0_real/000000092868.jpg,Universal_Fake_Detect
coco/0_real/000000368373.jpg,Universal_Fake_Detect
stylegan/cat/0_real/12256.png,CNNSpot_test
coco/0_real/000000505583.jpg,Universal_Fake_Detect
stylegan2/cat/0_real/12669.png,CNNSpot_test
coco/0_real/000000173019.jpg,Universal_Fake_Detect
progan/bottle/0_real/01097.png,CNNSpot
progan/airplane/0_real/08995.png,CNNSpot_test
progan/person/0_real/00141.png,CNNSpot
progan/tvmonitor/0_real/14005.png,CNNSpot_test
progan/motorbike/0_real/01203.png,CNNSpot
progan/horse/0_real/01099.png,CNNSpot
coco/0_real/000000225869.jpg,Universal_Fake_Detect
coco/0_real/000000029444.jpg,Universal_Fake_Detect
whichfaceisreal/0_real/00715.jpeg,CNNSpot_test
progan/train/0_real/00206.png,CNNSpot
imle/0_real/00101097.png,CNNSpot_test
progan/boat/0_real/00241.png,CNNSpot
coco/0_real/000000154883.jpg,Universal_Fake_Detect
coco/0_real/000000534959.jpg,Universal_Fake_Detect
coco/0_real/000000097844.jpg,Universal_Fake_Detect
coco/0_real/000000311011.jpg,Universal_Fake_Detect
progan/bird/0_real/00544.png,CNNSpot
progan/tvmonitor/0_real/00357.png,CNNSpot
progan/cow/0_real/00915.png,CNNSpot
progan/boat/0_real/01365.png,CNNSpot
coco/0_real/000000478212.jpg,Universal_Fake_Detect
biggan/0_real/14--n01537544_9892.png,CNNSpot_test
gaugan/0_real/000000060855.png,CNNSpot_test
coco/0_real/000000577979.jpg,Universal_Fake_Detect
cyclegan/apple/0_real/n07740461_2461_real.png,CNNSpot_test
progan/motorbike/0_real/00305.png,CNNSpot_test
progan/bus/0_real/00897.png,CNNSpot
progan/cat/0_real/00278.png,CNNSpot
crn/0_real/00101147.png,CNNSpot_test
coco/0_real/000000525640.jpg,Universal_Fake_Detect
coco/0_real/000000008781.jpg,Universal_Fake_Detect
stylegan2/horse/0_real/02979.png,CNNSpot_test
coco/0_real/000000273855.jpg,Universal_Fake_Detect
coco/0_real/000000422155.jpg,Universal_Fake_Detect
stylegan2/horse/0_real/08369.png,CNNSpot_test
progan/horse/0_real/05450.png,CNNSpot_test
laion/0_real/evwfvofdll.jpg,Universal_Fake_Detect
coco/0_real/000000125699.jpg,Universal_Fake_Detect
coco/0_real/000000015382.jpg,Universal_Fake_Detect
progan/bottle/0_real/01176.png,CNNSpot
coco/0_real/000000142746.jpg,Universal_Fake_Detect
coco/0_real/000000078358.jpg,Universal_Fake_Detect
progan/person/0_real/00368.png,CNNSpot
coco/0_real/000000339529.jpg,Universal_Fake_Detect
coco/0_real/000000094021.jpg,Universal_Fake_Detect
coco/0_real/000000260145.jpg,Universal_Fake_Detect
san/0_real/img_035.png,CNNSpot_test
coco/0_real/000000265253.jpg,Universal_Fake_Detect
cyclegan/horse/0_real/n02381460_1820_real.png,CNNSpot_test
progan/bus/0_real/00996.png,CNNSpot
seeingdark/0_real/10178_00_300_gt.png,CNNSpot_test
coco/0_real/000000575284.jpg,Universal_Fake_Detect
coco/0_real/000000577022.jpg,Universal_Fake_Detect
coco/0_real/000000497875.jpg,Universal_Fake_Detect
coco/0_real/000000143874.jpg,Universal_Fake_Detect
laion/0_real/rtbrwgwkho.jpg,Universal_Fake_Detect
seeingdark/0_real/10154_00_250_gt.png,CNNSpot_test
coco/0_real/000000008473.jpg,Universal_Fake_Detect
progan/horse/0_real/01125.png,CNNSpot
coco/0_real/000000152328.jpg,Universal_Fake_Detect
coco/0_real/000000321674.jpg,Universal_Fake_Detect
progan/bottle/0_real/00961.png,CNNSpot
progan/pottedplant/0_real/00401.png,CNNSpot
coco/0_real/000000092344.jpg,Universal_Fake_Detect
coco/0_real/000000550747.jpg,Universal_Fake_Detect
coco/0_real/000000042055.jpg,Universal_Fake_Detect
stylegan2/cat/0_real/10148.png,CNNSpot_test
coco/0_real/000000084040.jpg,Universal_Fake_Detect
stylegan2/horse/0_real/11113.png,CNNSpot_test
stylegan2/car/0_real/00814.png,CNNSpot_test
progan/bicycle/0_real/01122.png,CNNSpot
coco/0_real/000000246382.jpg,Universal_Fake_Detect
whichfaceisreal/0_real/00966.jpeg,CNNSpot_test
progan/sheep/0_real/01124.png,CNNSpot
